id	name	now_prices	up_down_rates	up_downs	up_rates	turnover_rates	volume_ratios	amplitudes	turnovers	tradable_shares	market_values	pe_ratios
600642	申能股份	5.80	-1.02	-0.06	--	0.58	2.03	3.24	1.53亿	45.52亿	264.02亿	13.05
601179	中国西电	5.79	-1.03	-0.06	-0.17	0.45	0.90	4.79	1.32亿	51.26亿	296.79亿	24.37
600983	惠而浦	9.58	-1.03	-0.10	0.21	0.52	1.36	3.00	2675.69万	5.33亿	51.04亿	15.81
600236	桂冠电力	5.71	-1.04	-0.06	0.18	0.16	0.68	3.29	3370.59万	36.04亿	205.82亿	27.04
600596	新安股份	7.54	-1.05	-0.08	--	1.95	1.02	4.46	9912.32万	6.79亿	51.21亿	20.51
600379	宝光股份	13.99	-1.06	-0.15	0.07	1.12	0.92	3.54	3658.73万	2.36亿	33.00亿	133.34
600889	南京化纤	10.21	-1.07	-0.11	-0.10	0.96	0.96	4.17	2997.19万	3.07亿	31.35亿	37.34
600035	楚天高速	5.55	-1.07	-0.06	--	0.27	1.16	3.21	2151.27万	14.53亿	80.66亿	13.87
600664	哈药股份	5.53	-1.07	-0.06	--	1.29	1.15	4.12	1.78亿	24.93亿	137.85亿	75.47
600548	深高速	8.29	-1.07	-0.09	0.12	0.27	0.89	2.15	3187.32万	14.33亿	118.82亿	12.96
601107	四川成渝	4.60	-1.07	-0.05	--	0.47	1.19	3.66	4620.14万	21.63亿	99.49亿	12.63
601968	宝钢包装	7.34	-1.08	-0.08	-0.14	1.98	0.78	4.72	4489.78万	3.13亿	23.00亿	--
600240	华业资本	9.18	-1.08	-0.10	-0.33	0.41	0.71	3.45	5418.59万	14.24亿	130.75亿	25.91
603811	诚意药业	40.91	-1.09	-0.45	0.07	8.38	0.63	4.28	7213.17万	2130.00万	8.71亿	61.47
600281	太化股份	6.35	-1.09	-0.07	--	0.78	0.96	3.74	2541.60万	5.14亿	32.66亿	--
603368	柳州医药	53.39	-1.09	-0.59	-0.17	2.85	1.87	3.48	8586.18万	5738.39万	30.64亿	22.69
600895	张江高科	16.23	-1.10	-0.18	-0.12	0.54	0.86	3.41	1.37亿	15.49亿	251.35亿	25.97
600856	中天能源	10.79	-1.10	-0.12	0.84	1.56	1.26	3.21	1.29亿	7.71亿	83.19亿	22.11
600726	华电能源	4.48	-1.10	-0.05	-0.22	0.48	1.01	2.87	3312.48万	15.35亿	68.75亿	8.43
600053	九鼎投资	35.69	-1.11	-0.40	-0.03	0.33	1.29	3.77	5045.33万	4.34亿	154.73亿	70.63
600727	鲁北化工	10.67	-1.11	-0.12	--	2.25	1.09	4.26	8286.73万	3.51亿	37.44亿	178.77
600081	东风科技	13.26	-1.12	-0.15	-0.08	0.47	1.42	4.03	1939.78万	3.14亿	41.58亿	27.31
600123	兰花科创	7.05	-1.12	-0.08	--	1.09	0.85	2.38	8758.07万	11.42亿	80.54亿	8.99
600515	海航基础	10.53	-1.13	-0.12	-0.19	0.68	1.00	3.57	3023.18万	4.23亿	44.52亿	404.61
600184	光电股份	20.07	-1.13	-0.23	-0.20	0.60	0.97	4.73	5002.04万	4.19亿	84.05亿	2612.53
600488	天药股份	5.21	-1.14	-0.06	--	0.52	1.42	3.98	2587.88万	9.61亿	50.06亿	123.32
