id	name	now_prices	up_down_rates	up_downs	up_rates	turnover_rates	volume_ratios	amplitudes	turnovers	tradable_shares	market_values	pe_ratios
600760	中航黑豹	28.98	2.48	0.70	0.14	3.83	0.93	4.07	3.80亿	3.45亿	99.96亿	--
300487	蓝晓科技	18.25	2.47	0.44	-0.22	22.64	1.30	5.56	1.37亿	3296.00万	6.02亿	24.94
600128	弘业股份	10.84	2.46	0.26	0.46	2.36	1.94	5.96	6329.04万	2.47亿	26.75亿	--
300549	优德精密	59.71	2.45	1.43	0.02	5.21	1.05	3.76	5149.37万	1667.00万	9.95亿	51.55
002054	德美化工	14.24	2.45	0.34	-0.35	1.56	1.20	5.40	6971.66万	3.15亿	44.83亿	344.92
000403	ST生化  	27.27	2.44	0.65	-0.04	1.07	0.70	3.27	5778.11万	2.00亿	54.64亿	95.24
002857	三晖电气	37.84	2.44	0.90	0.91	7.12	1.02	4.14	5323.72万	2000.00万	7.57亿	--
600325	华发股份	14.33	2.43	0.34	0.35	2.33	1.26	5.22	3.54亿	10.63亿	152.39亿	10.02
002011	盾安环境	9.75	2.42	0.23	--	4.15	0.88	5.57	3.36亿	8.39亿	81.84亿	57.42
000905	厦门港务	13.18	2.41	0.31	--	4.86	1.43	7.30	3.39亿	5.31亿	69.99亿	82.09
300062	中能电气	10.65	2.40	0.25	0.09	4.64	1.45	11.25	4060.52万	8267.18万	8.80亿	102.59
600777	新潮能源	3.41	2.40	0.08	-0.29	0.80	0.91	3.60	6363.87万	23.77亿	81.04亿	173.63
002602	世纪华通	30.31	2.40	0.71	0.03	0.47	1.03	4.22	8204.04万	5.88亿	178.15亿	62.20
300210	森远股份	15.82	2.40	0.37	0.13	1.31	0.90	4.47	4016.69万	1.96亿	30.94亿	49.04
603822	嘉澳环保	51.68	2.38	1.20	-0.50	10.04	1.22	4.48	2.11亿	4060.00万	20.98亿	215.67
000426	兴业矿业	7.33	2.37	0.17	--	0.63	0.87	3.49	5282.43万	11.48亿	84.12亿	36.95
300610	晨化股份	34.97	2.37	0.81	0.06	6.85	1.23	3.34	5938.34万	2500.00万	8.74亿	50.00
603689	皖天然气	19.92	2.36	0.46	0.91	7.47	0.70	4.11	1.23亿	8400.00万	16.73亿	43.88
000030	富奥股份	8.24	2.36	0.19	-0.12	0.55	1.37	3.48	5625.21万	12.46亿	102.63亿	12.05
300009	安科生物	20.00	2.35	0.46	0.05	0.89	1.23	3.02	5978.46万	3.43亿	68.64亿	58.02
300392	腾信股份	14.90	2.33	0.34	0.07	2.88	1.03	3.71	7014.11万	1.64亿	24.45亿	--
603678	火炬电子	27.64	2.33	0.63	-0.15	0.90	1.02	3.00	5012.61万	2.02亿	55.76亿	86.48
300207	欣旺达  	12.78	2.32	0.29	-0.16	2.93	1.38	4.80	2.64亿	7.20亿	92.03亿	56.90
000001	平安银行	8.90	2.30	0.20	--	0.54	1.85	2.99	8.09亿	169.18亿	1505.70亿	6.15
603633	徕木股份	30.49	2.28	0.68	0.03	5.18	0.32	3.35	4721.43万	3009.00万	9.17亿	104.96
000090	天健集团	9.90	2.27	0.22	--	2.12	1.33	5.89	1.61亿	7.74亿	76.58亿	11.67
002620	瑞和股份	39.84	2.26	0.88	0.03	2.11	0.79	4.11	7835.80万	9375.19万	37.35亿	44.76
600769	祥龙电业	9.07	2.25	0.20	-0.22	0.33	0.66	4.51	1122.58万	3.75亿	34.01亿	808.84
300124	汇川技术	22.69	2.25	0.50	-0.04	0.54	0.65	2.84	1.55亿	12.82亿	290.81亿	54.77
000539	粤电力Ａ	5.45	2.25	0.12	--	0.44	1.09	3.19	6103.78万	25.54亿	139.19亿	--
601166	兴业银行	15.92	2.25	0.35	0.06	0.49	1.64	2.70	14.78亿	190.52亿	3033.13亿	4.92
603069	海汽集团	14.14	2.24	0.31	0.07	6.67	1.38	3.90	7420.14万	7900.00万	11.17亿	70.17
600629	华建集团	22.89	2.23	0.50	0.26	4.81	0.68	5.49	3.78亿	3.48亿	79.66亿	51.41
002865	钧达股份	38.00	2.23	0.83	0.37	62.44	1.69	10.22	7.02亿	3000.00万	11.40亿	88.86
300106	西部牧业	11.48	2.23	0.25	0.97	1.26	1.12	4.10	3021.51万	2.10亿	24.14亿	--
002060	粤 水 电	8.32	2.21	0.18	--	2.99	1.55	6.14	1.48亿	6.01亿	49.99亿	61.23
600369	西南证券	5.55	2.21	0.12	--	0.43	1.01	3.68	1.35亿	56.45亿	313.30亿	327.92
603838	四通股份	14.80	2.21	0.32	-0.14	4.17	1.12	6.15	5967.40万	9728.00万	14.40亿	71.09
002823	凯中精密	48.14	2.21	1.04	0.27	13.20	1.23	4.50	2.28亿	3600.00万	17.33亿	48.53
002838	道恩股份	63.00	2.21	1.36	1.12	2.43	0.99	2.68	3170.24万	2100.00万	13.23亿	59.76
002461	珠江啤酒	11.24	2.09	0.23	0.63	0.36	0.86	3.09	2723.05万	6.80亿	76.45亿	256.36
300300	汉鼎宇佑	17.16	2.08	0.35	0.18	1.41	1.22	5.95	6180.62万	2.60亿	44.54亿	107.50
600480	凌云股份	21.08	2.08	0.43	0.19	7.65	1.13	4.94	5.80亿	3.62亿	76.25亿	24.66
002086	东方海洋	10.30	2.08	0.21	--	2.86	4.24	12.59	1.37亿	4.76亿	48.99亿	668.56
300548	博创科技	57.88	2.08	1.18	--	4.90	1.92	3.05	5825.94万	2067.00万	11.96亿	59.47
600977	中国电影	21.10	2.08	0.43	0.05	2.22	1.45	2.76	2.19亿	4.67亿	98.54亿	34.17
002839	张家港行	20.16	2.08	0.41	-0.05	44.87	1.57	10.43	16.38亿	1.81亿	36.44亿	44.72
600630	龙头股份	11.81	2.07	0.24	-0.09	2.48	1.67	8.47	1.24亿	4.25亿	50.18亿	58.81
603966	法兰泰克	30.04	2.07	0.61	-0.10	17.77	0.96	6.73	2.11亿	4000.00万	12.02亿	740.29
300425	环能科技	22.85	2.06	0.46	0.13	1.50	0.50	3.66	2597.49万	7663.42万	17.51亿	--
002320	海峡股份	14.54	2.04	0.29	--	0.75	0.70	2.95	4562.48万	4.26亿	61.92亿	19.73
000046	泛海控股	8.67	2.00	0.17	--	0.12	0.77	2.71	5279.28万	50.93亿	441.56亿	25.91
300258	精锻科技	15.33	2.00	0.30	--	0.76	0.64	4.46	4297.14万	3.75亿	57.43亿	27.22
300371	汇中股份	25.55	2.00	0.50	0.28	5.71	1.07	4.39	8153.84万	5613.02万	14.34亿	--
002615	哈尔斯  	15.91	1.99	0.31	0.13	1.35	1.02	3.14	3279.51万	1.54亿	24.52亿	30.07
601375	中原证券	10.79	1.99	0.21	-0.09	17.74	1.51	5.67	13.39亿	7.00亿	75.53亿	105.79
